completion_date,matches,unique_players,player_appearances,kills,deaths,assists,headshots,winning_player_appearances,player_win_rate,kill_death_ratio,kills_per_appearance
2015-10-27,14,74,112,1209,1227,204,964,56,0.5,0.9853,10.7946
2015-10-28,17,101,136,1343,1350,534,579,68,0.5,0.9948,9.875
2015-10-29,13,83,104,1106,1141,280,668,52,0.5,0.9693,10.6346
2015-10-30,3,22,24,199,204,67,41,9,0.375,0.9755,8.2917
2015-10-31,32,198,256,2029,2069,707,823,128,0.5,0.9807,7.9258
2015-11-01,34,206,272,2732,2753,1091,1120,118,0.4338,0.9924,10.0441
2015-11-02,31,158,248,2740,2766,896,1532,103,0.4153,0.9906,11.0484
2015-11-03,27,132,162,1766,1825,245,1614,76,0.4691,0.9677,10.9012
2015-11-04,43,262,308,3319,3456,1316,1159,125,0.4058,0.9604,10.776
2015-11-05,55,305,377,4405,4537,1154,2824,146,0.3873,0.9709,11.6844
2015-11-06,51,267,341,3296,3367,889,1969,136,0.3988,0.9789,9.6657
2015-11-07,70,394,467,5343,5336,684,2227,240,0.5139,1.0013,11.4411
2015-11-08,121,643,956,8512,8588,1834,5262,479,0.501,0.9912,8.9038
2015-11-09,149,755,1095,11143,11288,2709,5897,518,0.4731,0.9872,10.1763
2015-11-10,59,357,396,4351,4430,1275,2499,171,0.4318,0.9822,10.9874
2015-11-11,51,322,385,4111,4201,1597,1890,158,0.4104,0.9786,10.6779
2015-11-12,40,220,314,2940,2983,1088,1424,140,0.4459,0.9856,9.3631
2015-11-13,81,441,562,6004,6102,1698,3912,270,0.4804,0.9839,10.6833
2015-11-14,97,352,434,4069,4107,936,2569,217,0.5,0.9907,9.3756
2015-11-15,156,653,881,8195,8317,2219,4849,438,0.4972,0.9853,9.3019
2015-11-16,50,228,298,2634,2644,732,1573,150,0.5034,0.9962,8.8389
2015-11-17,43,239,282,2504,2635,1071,978,137,0.4858,0.9503,8.8794
2015-11-18,80,448,566,5114,5306,1907,2508,264,0.4664,0.9638,9.0353
2015-11-19,25,275,294,3807,3698,1713,1745,129,0.4388,1.0295,12.949
2015-11-20,31,219,303,2992,2986,1213,1234,134,0.4422,1.002,9.8746
2015-11-21,62,482,614,6250,6175,2725,2709,299,0.487,1.0121,10.1792
2015-11-22,179,1345,1902,20645,20410,7853,10972,973,0.5116,1.0115,10.8544
2015-11-23,96,871,1069,11427,11367,4973,4977,543,0.508,1.0053,10.6894
2015-11-24,89,767,977,10636,10520,4569,5008,496,0.5077,1.011,10.8864
2015-11-25,77,695,829,10125,10004,4689,4033,359,0.4331,1.0121,12.2135
2015-11-26,92,678,892,9676,9594,4102,3654,412,0.4619,1.0085,10.8475
2015-11-27,70,478,617,6096,6156,1964,1907,257,0.4165,0.9903,9.8801
2015-11-28,124,914,1115,12517,12629,3885,3777,468,0.4197,0.9911,11.226
2015-11-29,116,744,1022,8600,8582,2807,4448,487,0.4765,1.0021,8.4149
2015-11-30,109,602,858,8193,8197,3111,3883,388,0.4522,0.9995,9.549
2015-12-01,61,356,491,4872,4846,2173,2315,228,0.4644,1.0054,9.9226
2015-12-02,70,542,717,7832,7834,2773,4395,352,0.4909,0.9997,10.9233
2015-12-03,101,845,1081,11173,11099,4367,5510,528,0.4884,1.0067,10.3358
2015-12-04,109,794,1073,11081,11000,4536,5788,518,0.4828,1.0074,10.3271
2015-12-05,123,692,881,7999,8265,1412,4312,428,0.4858,0.9678,9.0795
2015-12-06,141,820,1151,10417,10517,3374,5342,564,0.49,0.9905,9.0504
2015-12-07,94,680,912,8915,8960,3431,4103,421,0.4616,0.995,9.7752
2015-12-08,64,456,591,5013,4954,1919,2705,302,0.511,1.0119,8.4822
2015-12-09,54,416,495,3543,3559,1277,1649,242,0.4889,0.9955,7.1576
2015-12-10,81,541,703,6196,6186,2045,3483,352,0.5007,1.0016,8.8137
2015-12-11,149,940,1308,11240,11190,4333,5613,622,0.4755,1.0045,8.5933
2015-12-12,103,518,784,5098,5076,1785,2683,369,0.4707,1.0043,6.5026
2015-12-13,126,944,1203,10612,10543,4874,4757,572,0.4755,1.0065,8.8213
2015-12-14,74,463,640,4952,4972,1960,2728,315,0.4922,0.996,7.7375
2015-12-15,109,613,831,6860,6883,2375,3591,410,0.4934,0.9967,8.2551
2015-12-16,81,485,609,4514,4631,1213,2722,302,0.4959,0.9747,7.4122
2015-12-17,146,720,946,7617,7752,2591,3633,454,0.4799,0.9826,8.0518
2015-12-18,88,377,549,4928,5032,1042,3519,266,0.4845,0.9793,8.9763
2015-12-19,106,547,819,6503,6544,2237,3209,403,0.4921,0.9937,7.9402
2015-12-20,180,753,1112,8480,8635,2839,4103,532,0.4784,0.982,7.6259
2015-12-21,135,705,997,7683,7637,2836,3630,475,0.4764,1.006,7.7061
2015-12-22,95,468,632,4886,4967,1629,2357,298,0.4715,0.9837,7.731
2015-12-23,126,674,996,6469,6603,2489,2853,475,0.4769,0.9797,6.495
2015-12-24,80,456,660,5033,5066,1954,2108,308,0.4667,0.9935,7.6258
2015-12-25,80,440,611,4075,4190,1108,2309,298,0.4877,0.9726,6.6694
2015-12-26,98,496,791,6819,6809,1694,4207,384,0.4855,1.0015,8.6207
2015-12-27,227,1049,1557,13076,13154,3754,7029,734,0.4714,0.9941,8.3982
2015-12-28,183,712,1151,8425,8471,2872,4318,542,0.4709,0.9946,7.3197
2015-12-29,163,783,1064,8972,8985,3105,4263,508,0.4774,0.9986,8.4323
2015-12-30,96,402,599,4666,4673,1493,2641,290,0.4841,0.9985,7.7896
2015-12-31,119,530,800,6023,6098,2037,3156,379,0.4738,0.9877,7.5287
2016-01-01,47,209,317,2664,2691,652,1560,143,0.4511,0.99,8.4038
2016-01-02,72,288,466,4298,4291,1433,2232,217,0.4657,1.0016,9.2232
2016-01-03,150,779,1085,7124,7098,2506,3527,529,0.4876,1.0037,6.5659
2016-01-04,142,623,975,7266,7293,2803,3141,474,0.4862,0.9963,7.4523
2016-01-05,69,318,510,3364,3361,1181,1741,253,0.4961,1.0009,6.5961
2016-01-06,94,466,764,5875,5863,2304,2870,371,0.4856,1.002,7.6898
2016-01-07,109,484,854,6996,6945,2914,3275,429,0.5023,1.0073,8.192
2016-01-08,170,873,1378,10679,10661,3973,4474,689,0.5,1.0017,7.7496
2016-01-09,174,985,1548,13917,13820,5921,5274,788,0.509,1.007,8.9903
2016-01-10,141,903,1354,13012,12974,5754,4737,682,0.5037,1.0029,9.61
2016-01-11,108,638,1070,11398,11294,4978,4534,533,0.4981,1.0092,10.6523
2016-01-12,65,408,657,6216,6243,2808,2421,322,0.4901,0.9957,9.4612
2016-01-13,64,284,471,4644,4662,1438,3020,226,0.4798,0.9961,9.8599
2016-01-14,69,307,539,3878,3925,1583,1977,267,0.4954,0.988,7.1948
2016-01-15,84,459,723,5214,5233,2221,2162,365,0.5048,0.9964,7.2116
2016-01-16,96,532,764,6277,6303,2380,2393,367,0.4804,0.9959,8.216
2016-01-17,98,559,848,5700,5675,2139,2120,423,0.4988,1.0044,6.7217
2016-01-18,84,506,750,6863,6802,2605,3504,382,0.5093,1.009,9.1507
2016-01-19,69,442,680,6154,6100,2935,2688,330,0.4853,1.0089,9.05
2016-01-20,62,272,462,3469,3514,1233,2231,230,0.4978,0.9872,7.5087
2016-01-21,37,274,365,2959,2948,1248,1230,189,0.5178,1.0037,8.1068
2016-01-22,112,609,948,7129,7093,2422,3702,470,0.4958,1.0051,7.52
2016-01-23,118,590,901,6937,6984,2568,3838,422,0.4684,0.9933,7.6992
2016-01-24,132,624,1057,7394,7393,2593,4228,515,0.4872,1.0001,6.9953
2016-01-25,52,326,470,5143,5076,2346,2500,238,0.5064,1.0132,10.9426
2016-01-26,79,434,625,4806,4845,1878,2507,309,0.4944,0.992,7.6896
2016-01-27,102,545,789,6079,6099,2534,3189,381,0.4829,0.9967,7.7047
2016-01-28,37,223,295,2505,2508,1064,1254,143,0.4847,0.9988,8.4915
2016-01-29,36,217,257,2325,2442,778,1067,109,0.4241,0.9521,9.0467
2016-01-30,117,559,855,7024,7073,1935,4275,391,0.4573,0.9931,8.2152
2016-01-31,88,433,647,5575,5643,1471,3664,289,0.4467,0.9879,8.6167
2016-02-01,84,475,630,7334,7344,2345,4188,267,0.4238,0.9986,11.6413
2016-02-02,63,274,429,4190,4231,1437,1817,168,0.3916,0.9903,9.7669
2016-02-03,36,224,283,2664,2698,627,1958,133,0.47,0.9874,9.4134
2016-02-04,71,321,547,4060,4087,1129,2345,255,0.4662,0.9934,7.4223
2016-02-05,39,304,382,4173,4141,1322,2177,181,0.4738,1.0077,10.9241
2016-02-06,74,463,606,4947,4962,1861,2437,301,0.4967,0.997,8.1634
2016-02-07,77,400,616,4583,4583,1288,2616,308,0.5,1.0,7.4399
2016-02-08,27,142,236,1633,1640,647,778,120,0.5085,0.9957,6.9195
2016-02-09,46,208,348,2859,2856,883,1508,158,0.454,1.0011,8.2155
2016-02-10,47,231,343,3097,3213,865,2088,161,0.4694,0.9639,9.0292
2016-02-11,77,368,597,5529,5576,2025,3067,277,0.464,0.9916,9.2613
2016-02-12,71,300,510,4893,5022,1338,3391,226,0.4431,0.9743,9.5941
2016-02-13,81,346,569,4145,4193,1093,2808,278,0.4886,0.9886,7.2847
2016-02-14,72,370,589,4540,4610,1623,2535,288,0.489,0.9848,7.708
2016-02-15,81,382,570,5686,5678,1496,3782,267,0.4684,1.0014,9.9754
2016-02-16,69,390,531,5135,5169,1725,2893,245,0.4614,0.9934,9.6704
2016-02-17,90,399,686,4833,4899,1703,2674,337,0.4913,0.9865,7.0452
2016-02-18,60,437,593,5961,6026,2456,3175,296,0.4992,0.9892,10.0523
2016-02-19,90,577,825,8267,8410,3019,4756,410,0.497,0.983,10.0206
2016-02-20,94,602,896,7666,7886,3267,3428,431,0.481,0.9721,8.5558
2016-02-21,111,758,1093,9868,10091,3813,5347,527,0.4822,0.9779,9.0284
2016-02-22,70,375,568,4680,4770,1907,2431,268,0.4718,0.9811,8.2394
2016-02-23,47,248,373,2353,2359,955,1194,185,0.496,0.9975,6.3083
2016-02-24,43,322,412,5887,6129,2141,1276,202,0.4903,0.9605,14.2888
2016-02-25,74,454,626,11155,11968,2599,1567,310,0.4952,0.9321,17.8195
2016-02-26,24,147,193,3687,3952,917,389,93,0.4819,0.9329,19.1036
2016-02-27,65,347,536,4909,5075,1173,2024,261,0.4869,0.9673,9.1586
2016-02-28,117,695,1050,11981,12177,3720,5751,502,0.4781,0.9839,11.4105
2016-02-29,34,198,284,2438,2495,626,742,142,0.5,0.9772,8.5845
2016-03-01,82,418,663,5763,5807,1926,2891,321,0.4842,0.9924,8.6923
2016-03-02,62,330,494,5023,5085,1669,1977,231,0.4676,0.9878,10.168
2016-03-03,55,261,410,3437,3498,1238,1655,183,0.4463,0.9826,8.3829
2016-03-04,26,140,205,1502,1550,646,690,100,0.4878,0.969,7.3268
2016-03-05,63,363,544,5026,5046,1732,1715,265,0.4871,0.996,9.239
2016-03-06,107,524,868,7157,7239,2058,3410,426,0.4908,0.9887,8.2454
2016-03-07,41,235,346,2902,2946,996,1064,164,0.474,0.9851,8.3873
2016-03-08,60,384,549,5595,5608,2297,2219,266,0.4845,0.9977,10.1913
2016-03-09,61,298,487,3488,3515,1253,1833,245,0.5031,0.9923,7.1622
2016-03-10,140,661,1164,11123,11280,3483,6302,558,0.4794,0.9861,9.5558
2016-03-11,77,323,601,5859,5987,1154,4288,285,0.4742,0.9786,9.7488
2016-03-12,102,591,877,9094,9125,2690,4826,430,0.4903,0.9966,10.3694
2016-03-13,125,551,1027,10382,10607,2205,7206,478,0.4654,0.9788,10.1091
2016-03-14,50,328,452,3983,3936,1746,1835,227,0.5022,1.0119,8.8119
2016-03-15,92,374,690,6468,6715,1886,4137,314,0.4551,0.9632,9.3739
2016-03-16,99,603,838,7011,7173,2736,2799,401,0.4785,0.9774,8.3663
2016-03-17,137,689,1089,10247,10597,2649,3846,529,0.4858,0.967,9.4096
2016-03-18,101,482,757,8086,8547,2091,4321,351,0.4637,0.9461,10.6816
2016-03-19,94,545,840,8888,9022,2530,3528,403,0.4798,0.9851,10.581
2016-03-20,121,627,934,9259,9701,2098,5606,450,0.4818,0.9544,9.9133
2016-03-21,83,422,659,6048,6218,2197,3297,324,0.4917,0.9727,9.1775
2016-03-22,38,209,317,3169,3219,1293,1461,157,0.4953,0.9845,9.9968
2016-03-23,42,263,327,3082,3314,942,1828,154,0.4709,0.93,9.4251
2016-03-24,47,234,362,3620,3697,1428,1780,181,0.5,0.9792,10.0
2016-03-25,60,314,487,4458,4466,1891,2216,244,0.501,0.9982,9.154
2016-03-26,78,360,642,4476,4565,1634,2135,321,0.5,0.9805,6.972
2016-03-27,150,703,1254,9307,9572,3347,4713,614,0.4896,0.9723,7.4219
2016-03-28,73,370,601,4289,4314,1734,2059,299,0.4975,0.9942,7.1364
2016-03-29,53,271,484,3721,3759,1401,1676,240,0.4959,0.9899,7.688
2016-03-30,40,193,352,3000,2999,994,1818,175,0.4972,1.0003,8.5227
2016-03-31,66,305,563,3612,3615,1513,1955,278,0.4938,0.9992,6.4156
2016-04-01,106,562,891,8286,8334,2642,5417,435,0.4882,0.9942,9.2997
2016-04-02,124,489,915,8652,8919,1858,6741,415,0.4536,0.9701,9.4557
2016-04-03,172,637,1331,10905,11128,3451,7191,644,0.4838,0.98,8.1931
2016-04-04,89,380,688,5637,5853,1316,4330,321,0.4666,0.9631,8.1933
2016-04-05,150,552,1115,10342,10771,2420,7421,506,0.4538,0.9602,9.2753
2016-04-06,171,621,1228,12455,12969,2892,9276,544,0.443,0.9604,10.1425
2016-04-07,154,500,1119,10443,10958,1904,8695,513,0.4584,0.953,9.3324
2016-04-08,129,521,954,9834,10284,2161,7068,419,0.4392,0.9562,10.3082
2016-04-09,116,384,864,7782,8140,1703,6077,403,0.4664,0.956,9.0069
2016-04-10,207,798,1605,14964,15465,3898,10652,742,0.4623,0.9676,9.3234
2016-04-11,179,699,1356,12790,13280,3019,8752,639,0.4712,0.9631,9.4322
2016-04-12,126,480,979,9033,9335,2102,6291,462,0.4719,0.9676,9.2268
2016-04-13,144,516,1066,9253,9599,1856,7155,494,0.4634,0.964,8.6801
2016-04-14,100,406,736,6680,7005,1791,3917,341,0.4633,0.9536,9.0761
2016-04-15,83,374,659,6886,7175,1447,5221,271,0.4112,0.9597,10.4492
2016-04-16,204,841,1561,12628,13015,3057,8915,731,0.4683,0.9703,8.0897
2016-04-17,212,829,1666,14473,14810,3582,9836,783,0.47,0.9772,8.6873
2016-04-18,114,443,876,6718,6849,1595,4747,423,0.4829,0.9809,7.6689
2016-04-19,90,357,686,6684,7019,1656,4753,312,0.4548,0.9523,9.7434
2016-04-20,82,246,582,5481,5872,694,4993,258,0.4433,0.9334,9.4175
2016-04-21,75,264,570,5095,5238,1075,3831,268,0.4702,0.9727,8.9386
2016-04-22,54,333,473,4664,4679,1831,2081,229,0.4841,0.9968,9.8605
2016-04-23,142,710,1158,8563,8649,2898,3737,567,0.4896,0.9901,7.3946
2016-04-24,145,649,1168,7884,8000,2701,4227,571,0.4889,0.9855,6.75
2016-04-25,133,694,1128,9061,9152,2888,3031,561,0.4973,0.9901,8.0328
2016-04-26,122,667,1044,8229,8340,2386,3784,518,0.4962,0.9867,7.8822
2016-04-27,58,309,463,4402,4484,1411,1765,224,0.4838,0.9817,9.5076
2016-04-28,87,385,717,4786,4804,1622,2479,349,0.4868,0.9963,6.675
2016-04-29,101,492,858,7139,7154,2584,3353,427,0.4977,0.9979,8.3205
2016-04-30,127,534,1014,7211,7366,1806,3651,499,0.4921,0.979,7.1114
2016-05-01,114,490,911,6659,6802,2178,3103,454,0.4984,0.979,7.3095
2016-05-02,107,396,850,5113,5160,1563,2703,422,0.4965,0.9909,6.0153
2016-05-03,151,635,1193,8802,8883,3049,4684,591,0.4954,0.9909,7.378
2016-05-04,111,529,876,7746,7861,2477,4389,423,0.4829,0.9854,8.8425
2016-05-05,100,389,748,5422,5470,1717,3088,359,0.4799,0.9912,7.2487
2016-05-06,35,177,273,2315,2335,887,1055,133,0.4872,0.9914,8.4799
2016-05-07,153,730,1262,14488,14631,4891,6907,630,0.4992,0.9902,11.4802
2016-05-08,135,508,1035,6752,6903,1857,4745,511,0.4937,0.9781,6.5237
2016-05-09,76,378,591,5891,5976,1977,3394,272,0.4602,0.9858,9.9679
