medal_name,medal_classification,medal_difficulty,medal_count,unique_players,distinct_matches
Headshot,WeaponProficiency,60,649234,54492,18200
Double Kill,MultiKill,45,110617,34797,17961
Distraction,Style,150,78362,31499,17465
Melee Kill,Style,220,61878,26961,16283
Reversal,Style,115,60813,23190,15761
Close Call,Style,155,58060,25751,13470
Protector,Style,145,45758,21660,12476
Team Takedown,Style,245,36389,14726,6540
Killing Spree,KillingSpree,45,34901,17840,15513
Stronghold Captured,Strongholds,15,34009,6905,875
Sniper Headshot,WeaponProficiency,50,28306,7664,3268
Brawler,Style,195,26103,13156,9183
Spartan Charge,Style,135,20453,10138,9968
Total Control,Strongholds,5,18505,5601,855
First Strike,Style,180,17694,10907,17693
Stronghold Defense,Strongholds,20,16225,5260,874
Perfect Kill,WeaponProficiency,40,14268,7806,6164
Perfect Kill,WeaponProficiency,45,13838,7541,4228
Triple Kill,MultiKill,40,12642,6657,6808
Carrier Kill,CaptureTheFlag,40,12348,6363,3741
From the Grave,Style,165,12298,8371,6505
Beat Down,Style,185,11988,8187,7667
Vanquisher,Breakout,30,8571,4738,5279
Top Gun,Style,20,7980,5035,7977
Hail Mary,Style,160,7914,4384,5259
Ball Carrier Kill,Ball,30,7454,1941,422
Capture Assist,Strongholds,40,6982,4050,863
Snapshot,WeaponProficiency,15,6578,3215,2051
Big Game Hunter,Style,50,6387,2990,1056
Unknown Medal (2315448068),Unknown,Unknown,5910,1590,428
Ground Pound,Style,140,5340,3383,3563
Cliffhanger,Style,85,5323,3920,4290
Flag Defense,CaptureTheFlag,55,5217,2742,790
Longshot,WeaponProficiency,55,5183,2918,2229
Assassination,Style,190,4995,3681,3662
Goal Defense,Ball,35,4629,1645,426
Last Shot,Style,175,4236,3122,3379
Splatter,Vehicles,40,4113,2168,964
Flag Kill,CaptureTheFlag,35,3780,2308,2184
Wheelman,Vehicles,150,3578,1189,659
Flag Capture,CaptureTheFlag,50,3525,2324,1961
Bifecta,Breakout,25,3510,2225,2838
Stuck,Style,130,3503,2496,2597
Power Player,WeaponProficiency,80,3110,2371,1111
Ghost Assist,Vehicles,140,3039,2429,811
Ghost Destroyed,Vehicles,85,2864,2284,902
Perfect Kill,WeaponProficiency,35,2411,1609,1351
