medal_rank,medal_id,medal_name,medal_count,share_of_medals
1,3261908037,Headshot,649234,0.41605669
2,2078758684,Double Kill,110617,0.07088807
3,824733727,Distraction,78362,0.05021769
4,2287626681,Melee Kill,61878,0.03965405
5,2782465081,Reversal,60813,0.03897155
6,3400287617,Close Call,58060,0.03720731
7,2838259753,Protector,45758,0.02932367
8,2430242797,Killing Spree,34901,0.02236604
9,3565443938,Stronghold Captured,34009,0.02179441
10,848240062,Sniper Headshot,28306,0.01813969
11,250435527,Brawler,26103,0.01672791
12,298813630,Spartan Charge,20453,0.01310715
13,2105198095,Total Control,18505,0.01185879
14,3001183151,First Strike,17694,0.01133907
15,1351381581,Stronghold Defense,16225,0.01039767
16,2916014239,Team Takedown,14660,0.00939475
17,3653057799,Perfect Kill,14268,0.00914354
18,1080468863,Perfect Kill,13838,0.00886798
19,2763748638,Triple Kill,12642,0.00810153
20,2028249938,Carrier Kill,12348,0.00791312
21,285057226,From the Grave,12298,0.00788108
22,3270120991,Beat Down,11988,0.00768242
23,1573153198,Vanquisher,8571,0.00549266
24,352859864,Team Takedown,8207,0.00525939
25,466059351,Top Gun,7980,0.00511392
26,3491849182,Hail Mary,7914,0.00507163
27,2380717523,Team Takedown,7459,0.00478004
28,2221955973,Ball Carrier Kill,7454,0.00477684
29,1637841390,Capture Assist,6982,0.00447436
30,1986137636,Snapshot,6578,0.00421546
31,3925170236,Big Game Hunter,6387,0.00409306
32,2315448068,Unknown Medal (2315448068),5910,0.00378738
33,492192256,Ground Pound,5340,0.00342210
34,3698887726,Cliffhanger,5323,0.00341120
35,164204247,Flag Defense,5217,0.00334327
36,1326375333,Team Takedown,5187,0.00332405
37,1423504140,Longshot,5183,0.00332149
38,2966496172,Assassination,4995,0.00320101
39,1234371130,Goal Defense,4629,0.00296646
40,2494364276,Last Shot,4236,0.00271461
41,3676723563,Splatter,4113,0.00263578
42,2299864088,Flag Kill,3780,0.00242238
43,125834251,Wheelman,3578,0.00229293
44,3886151616,Flag Capture,3525,0.00225897
45,979431049,Bifecta,3510,0.00224936
46,2251767925,Stuck,3503,0.00224487
47,876932011,Power Player,3110,0.00199302
48,3824002610,Ghost Assist,3039,0.00194752
49,2497544753,Ghost Destroyed,2864,0.00183537
50,370413844,Perfect Kill,2411,0.00154507
51,1730555799,First Touch,2403,0.00153994
52,2564994165,Big Gun Runner,2399,0.00153738
53,3894006667,Stealth Capture,2337,0.00149765
54,1494478183,Flag Capture Assist,2248,0.00144061
55,2977773352,Hat Trick,2195,0.00140665
56,764679877,Goal,2160,0.00138422
57,3710519250,Overkill,2142,0.00137268
58,1219497744,Hijack,1988,0.00127399
59,3148489433,Starkiller,1940,0.00124323
60,3522125871,Killing Frenzy,1816,0.00116377
61,2077162827,Gun Punch,1767,0.00113237
62,2359847435,Extinction,1740,0.00111507
63,194124164,Team Takedown,1724,0.00110481
64,3744028405,Wingman,1691,0.00108366
65,1618319591,Nadeshot,1572,0.00100740
66,4048801324,Warthog Assist,1541,0.00098754
67,1792284502,Triple Double,1513,0.00096959
68,92444561,Warthog Destroyed,1324,0.00084848
69,2155964350,Fast Break,1294,0.00082925
70,4204396686,Buckle Up,1080,0.00069211
71,2683910456,Noob Combo,1012,0.00064853
72,1957561936,Carrier Protected,1010,0.00064725
73,515648662,Mongoose Destroyed,1007,0.00064533
74,2366628262,EMP Assist,989,0.00063379
75,2531822079,Cluster Luck,938,0.00060111
76,3354395650,Capture Spree,917,0.00058765
77,68187090,Trifecta,870,0.00055753
78,2108880282,Snipunch,864,0.00055369
79,2732907792,Mongoose Assist,860,0.00055112
80,3486286344,Airborne Snapshot!,814,0.00052165
81,2766284219,Quickdraw,803,0.00051460
82,1691836029,Hard Target,749,0.00047999
83,3098362934,Perfect Kill,684,0.00043834
84,3565441934,Unknown Medal (3565441934),674,0.00043193
85,4252521258,Bulltrue,658,0.00042167
86,2279899989,Perfect Kill,619,0.00039668
87,1212900805,Immortal,592,0.00037938
88,3881314877,Ball Runner,542,0.00034734
89,317993761,Killtacular,486,0.00031145
90,2137994204,Flag Runner,428,0.00027428
91,651116095,Rocket Mary,425,0.00027236
92,2896365521,Team Takedown,414,0.00026531
93,394618614,Stopped Short,409,0.00026210
94,1259067733,Retribution,402,0.00025762
95,786413504,Banshee Assist,385,0.00024672
96,2715985301,Ball Carrier Protected,366,0.00023455
97,685960231,BXR,360,0.00023070
98,1427531503,Team Takedown,350,0.00022429
99,3392925967,Scorpion Assist,326,0.00020891
100,762229696,Banshee Destroyed,315,0.00020187
101,35545941,Scorpion Destroyed,299,0.00019161
102,281002471,Busted,266,0.00017046
103,151853593,Blind Side,248,0.00015893
104,3972445431,Bodyguard,239,0.00015316
105,2016270491,Showstopper,210,0.00013458
106,3992195104,Perfect Kill,207,0.00013265
107,2707871298,Running Riot,207,0.00013265
108,3318955876,Game Saver,206,0.00013201
109,3440416044,Mantis Assist,193,0.00012368
110,2322887852,Flag Driver,188,0.00012048
111,1669270602,Flag Joust,187,0.00011984
112,3485523253,Ball Champion,182,0.00011663
113,615190505,Mantis Destroyed,181,0.00011599
114,1801925525,Skyjack,164,0.00010510
115,1807727172,Killtrocity,142,0.00009100
116,2271298273,Clutch Kill,130,0.00008331
117,1997362612,Team Takedown,112,0.00007177
118,2237392606,Wraith Assist,105,0.00006729
119,2859802775,Road Trip,101,0.00006473
120,3786961025,Fastball,97,0.00006216
121,1568252876,Wraith Destroyed,85,0.00005447
122,2462002800,Combat Evolved,81,0.00005191
123,2421706731,Superfecta,80,0.00005127
124,2010966644,Ball Kill,69,0.00004422
125,1838382875,Flag Champion,58,0.00003717
126,343942800,Killamanjaro,46,0.00002948
127,2093481574,Snipeltaneous!,40,0.00002563
128,121048710,Rampage,36,0.00002307
129,2150057864,Pounder,29,0.00001858
130,1655262350,Pounder Assist,29,0.00001858
131,2006781774,Airsassination,28,0.00001794
132,3915864153,Pineapple Express,23,0.00001474
133,4116576170,Flagsassination,19,0.00001218
134,565087105,Killtastrophe,19,0.00001218
